text,author,class,word_count,topic,sample_id
"This son was to join in cutting off the entail, as soon as he should be of age, and the widow and younger children would by that means be provided for. Five daughters successively entered the world, but yet the son was to come; and Mrs. Bennet, for many years after Lydia's birth, had been certain that he would. This event had at last been despaired of, but it was then too late to be saving. Mrs. Bennet had no turn for economy; and her husband's love of independence had alone prevented their exceeding their income. Five thousand pounds was settled by marriage articles on Mrs. Bennet and the children.",Austen,human,110,Moral Development and Redemption,human_0013
"I rang for the tea, and the waiter, reappearing with his magic clue, brought in by degrees some fifty adjuncts to that refreshment, but of tea not a glimpse. A teaboard, cups and saucers, plates, knives and forks (including carvers), spoons (various), salt-cellars, a meek little muffin confined with the utmost precaution under a strong iron cover, Moses in the bulrushes typified by a soft bit of butter in a quantity of parsley, a pale loaf with a powdered head, two proof impressions of the bars of the kitchen fireplace on triangular bits of bread, and ultimately a fat family urn; which the waiter staggered in with, expressing in his countenance burden and suffering.",Dickens,human,114,The Power of Social Expectations,human_0014
"It was but natural that I should take to him much more kindly than to Drummle, and that, even in the earliest evenings of our boating, he and I should pull homeward abreast of one another, conversing from boat to boat, while Bentley Drummle came up in our wake alone, under the overhanging banks and among the rushes. He would always creep in-shore like some uncomfortable amphibious creature, even when the tide would have sent him fast upon his way; and I always think of him as coming after us in the dark or by the back-water, when our own two boats were breaking the sunset or the moonlight in mid-stream.",Dickens,human,111,Family Duty and Loyalty,human_0015
"It matters not what stranded ships repairing in dry docks I lost myself among, what old hulls of ships in course of being knocked to pieces, what ooze and slime and other dregs of tide, what yards of ship-builders and ship-breakers, what rusty anchors blindly biting into the ground, though for years off duty, what mountainous country of accumulated casks and timber, how many rope-walks that were not the Old Green Copper. After several times falling short of my destination and as often overshooting it, I came unexpectedly round a corner, upon Mill Pond Bank. It was a fresh kind of place, all circumstances considered, where the wind from the river had room to turn itself round; and there were two or three trees in it, and there was the stump of a ruined windmill, and there was the Old Green Copper Rope-walk, whose long and narrow vista I could trace in the moonlight, along a series of wooden frames set in the ground, that looked like superannuated haymaking-rakes which had grown old and lost most of their teeth.",Dickens,human,179,The Search for Identity,human_0016
"Miss Bingley was very deeply mortified by Darcy's marriage; but as she thought it advisable to retain the right of visiting at Pemberley, she dropped all her resentment; was fonder than ever of Georgiana, almost as attentive to Darcy as heretofore, and paid off every arrear of civility to Elizabeth. Pemberley was now Georgiana's home; and the attachment of the sisters was exactly what Darcy had hoped to see. They were able to love each other, even as well as they intended. Georgiana had the highest opinion in the world of Elizabeth; though at first she often listened with an astonishment bordering on alarm at her lively, sportive manner of talking to her brother.",Austen,human,114,Gender Roles and Expectations,human_0017
"I suffered unspeakable trouble while I considered and reconsidered whether I should at last dissolve that spell of my childhood and tell Joe all the story. For months afterwards, I every day settled the question finally in the negative, and reopened and reargued it next morning. The contention came, after all, to this; the secret was such an old one now, had so grown into me and become a part of myself, that I could not tear it away. In addition to the dread that, having led up to so much mischief, it would be now more likely than ever to alienate Joe from me if he believed it, I had a further restraining dread that he would not believe it, but would assort it with the fabulous dogs and veal-cutlets as a monstrous invention.",Dickens,human,135,The Search for Identity,human_0018
"The injury to his chest (which rendered his breathing extremely painful) he thought he had received against the side of the galley. He added that he did not pretend to say what he might or might not have done to Compeyson, but that, in the moment of his laying his hand on his cloak to identify him, that villain had staggered up and staggered back, and they had both gone overboard together, when the sudden wrenching of him (Magwitch) out of our boat, and the endeavour of his captor to keep him in it, had capsized us. He told me in a whisper that they had gone down fiercely locked in each other's arms, and that there had been a struggle under water, and that he had disengaged himself, struck out, and swum away.",Dickens,human,134,Appearance Versus Reality,human_0019
"I thought it a strange thing then, and I thought it a stranger thing long afterwards. I turned my eyes a little dimmed by looking up at the frosty light towards a great wooden beam in a low nook of the building near me on my right hand, and I saw a figure hanging there by the neck. A figure all in yellow white, with but one shoe to the feet; and it hung so, that I could see that the faded trimmings of the dress were like earthy paper, and that the face was Miss Havisham's, with a movement going over the whole countenance as if she were trying to call to me.",Dickens,human,114,The Power of Social Expectations,human_0020
"I added, that of course, when the time came, I should go with him, or should follow close upon him, as might be safest in Wemmick's judgment. What was to follow that I did not touch upon; neither, indeed, was I at all clear or comfortable about it in my own mind, now that I saw him in that softer condition, and in declared peril for my sake. As to altering my way of living by enlarging my expenses, I put it to him whether in our present unsettled and difficult circumstances, it would not be simply ridiculous, if it were no worse?",Dickens,human,103,Appearance Versus Reality,human_0021
"She turned her face to me for the first time since she had averted it, and, to my amazement, I may even add to my terror, dropped on her knees at my feet; with her folded hands raised to me in the manner in which, when her poor heart was young and fresh and whole, they must often have been raised to heaven from her mother's side. To see her with her white hair and her worn face kneeling at my feet gave me a shock through all my frame. I entreated her to rise, and got my arms about her to help her up; but she only pressed that hand of mine which was nearest to her grasp, and hung her head over it and wept.",Dickens,human,127,The Search for Identity,human_0022
"My left arm was a good deal burned to the elbow, and, less severely, as high as the shoulder; it was very painful, but the flames had set in that direction, and I felt thankful it was no worse. My right hand was not so badly burnt but that I could move the fingers. It was bandaged, of course, but much less inconveniently than my left hand and arm; those I carried in a sling; and I could only wear my coat like a cloak, loose over my shoulders and fastened at the neck. My hair had been caught by the fire, but not my head or face.",Dickens,human,108,The Power of Social Expectations,human_0023
"After sitting a few minutes, they were all sent to one of the windows to admire the view, Mr. Collins attending them to point out its beauties, and Lady Catherine kindly informing them that it was much better worth looking at in the summer. The dinner was exceedingly handsome, and there were all the servants, and all the articles of plate which Mr. Collins had promised; and, as he had likewise foretold, he took his seat at the bottom of the table, by her Ladyship's desire, and looked as if he felt that life could furnish nothing greater. He carved and ate and praised with delighted alacrity; and every dish was commended first by him, and then by Sir William, who was now enough recovered to echo whatever his son-in-law said, in a manner which Elizabeth wondered Lady Catherine could bear.",Austen,human,141,Social Class and Mobility,human_0024
"[1867 Edition] by Charles Dickens Contents My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister, Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones.",Dickens,human,109,Moral Development and Redemption,human_0025
"It is about the only thing I am glad to know of myself in that connection. For, though it includes what I proceed to add, all the merit of what I proceed to add was Joe's. It was not because I was faithful, but because Joe was faithful, that I never ran away and went for a soldier or a sailor. It was not because I had a strong sense of the virtue of industry, but because Joe had a strong sense of the virtue of industry, that I worked with tolerable zeal against the grain. It is not possible to know how far the influence of any amiable honest-hearted duty-doing man flies out into the world; but it is very possible to know how it has touched one's self in going by, and I know right well that any good that intermixed itself with my apprenticeship came of plain contented Joe, and not of restlessly aspiring discontented me.",Dickens,human,159,Moral Development and Redemption,human_0026
"The two first dances, however, brought a return of distress: they were dances of mortification. Mr. Collins, awkward and solemn, apologizing instead of attending, and often moving wrong without being aware of it, gave her all the shame and misery which a disagreeable partner for a couple of dances can give. The moment of her release from him was ecstasy. She danced next with an officer, and had the refreshment of talking of Wickham, and of hearing that he was universally liked. When those dances were over, she returned to Charlotte Lucas, and was in conversation with her, when she found herself suddenly addressed by Mr. Darcy, who took her so much by surprise in his application for her hand, that, without knowing what she did, she accepted him.",Austen,human,129,Family Duty and Loyalty,human_0027
"She had not at first thought very seriously of going thither; but Charlotte, she soon found, was depending on the plan, and she gradually learned to consider it herself with greater pleasure as well as greater certainty. Absence had increased her desire of seeing Charlotte again, and weakened her disgust of Mr. Collins. There was novelty in the scheme; and as, with such a mother and such uncompanionable sisters, home could not be faultless, a little change was not unwelcome for its own sake. The journey would, moreover, give her a peep at Jane; and, in short, as the time drew near, she would have been very sorry for any delay.",Austen,human,111,Appearance Versus Reality,human_0028
"But when the defence come on, then I see the plan plainer; for, says the counsellor for Compeyson, ‘My lord and gentlemen, here you has afore you, side by side, two persons as your eyes can separate wide; one, the younger, well brought up, who will be spoke to as such; one, the elder, ill brought up, who will be spoke to as such; one, the younger, seldom if ever seen in these here transactions, and only suspected; t'other, the elder, always seen in 'em and always wi' his guilt brought home. Can you doubt, if there is but one in it, which is the one, and, if there is two in it, which is much the worst one?'",Dickens,human,119,The Impact of Childhood Trauma,human_0029
"Once, it had seemed to me that when I should at last roll up my shirt-sleeves and go into the forge, Joe's 'prentice, I should be distinguished and happy. Now the reality was in my hold, I only felt that I was dusty with the dust of small-coal, and that I had a weight upon my daily remembrance to which the anvil was a feather. There have been occasions in my later life (I suppose as in most lives) when I have felt for a time as if a thick curtain had fallen on all its interest and romance, to shut me out from anything save dull endurance any more.",Dickens,human,110,Family Duty and Loyalty,human_0030
"And when he and I were left alone together, he sat with an air upon him of general lying by in consequence of information he possessed, that really was too much for me. He cross-examined his very wine when he had nothing else in hand. He held it between himself and the candle, tasted the port, rolled it in his mouth, swallowed it, looked at his glass again, smelt the port, tried it, drank it, filled again, and cross-examined the glass again, until I was as nervous as if I had known the wine to be telling him something to my disadvantage.",Dickens,human,102,Moral Development and Redemption,human_0031
"I thought he would be more glad if I came upon him with his breakfast, in that unexpected manner, so I went forward softly and touched him on the shoulder. He instantly jumped up, and it was not the same man, but another man! And yet this man was dressed in coarse grey, too, and had a great iron on his leg, and was lame, and hoarse, and cold, and was everything that the other man was; except that he had not the same face, and had a flat broad-brimmed low-crowned felt hat on. All this I saw in a moment, for I had only a moment to see it in: he swore an oath at me, made a hit at me, it was a round weak blow that missed me and almost knocked himself down, for it made him stumble, and then he ran into the mist, stumbling twice as he went, and I lost him.",Dickens,human,157,The Impact of Childhood Trauma,human_0032
"He did trace them easily to Clapham, but no farther; for on entering that place, they removed into a hackney-coach, and dismissed the chaise that brought them from Epsom. All that is known after this is, that they were seen to continue the London road. I know not what to think. After making every possible inquiry on that side of London, Colonel F. came on into Hertfordshire, anxiously renewing them at all the turnpikes, and at the inns in Barnet and Hatfield, but without any success,--no such people had been seen to pass through. With the kindest concern he came on to Longbourn, and broke his apprehensions to us in a manner most creditable to his heart.",Austen,human,117,The Impact of Childhood Trauma,human_0033
"He protested that, except Lady Catherine and her daughter, he had never seen a more elegant woman; for she had not only received him with the utmost civility, but had even pointedly included him in her invitation for the next evening, although utterly unknown to her before. Something, he supposed, might be attributed to his connection with them, but yet he had never met with so much attention in the whole course of his life. As no objection was made to the young people's engagement with their aunt, and all Mr. Collins's scruples of leaving Mr. and Mrs. Bennet for a single evening during his visit were most steadily resisted, the coach conveyed him and his five cousins at a suitable hour to Meryton; and the girls had the pleasure of hearing, as they entered the drawing-room, that Mr. Wickham had accepted their uncle's invitation, and was then in the house.",Austen,human,151,The Impact of Childhood Trauma,human_0034
"Behind the furthest end of the brewery, was a rank garden with an old wall; not so high but that I could struggle up and hold on long enough to look over it, and see that the rank garden was the garden of the house, and that it was overgrown with tangled weeds, but that there was a track upon the green and yellow paths, as if some one sometimes walked there, and that Estella was walking away from me even then. But she seemed to be everywhere. For when I yielded to the temptation presented by the casks, and began to walk on them, I saw her walking on them at the end of the yard of casks.",Dickens,human,119,The Search for Identity,human_0035
"Perhaps they replied, or argued the point, or tried to encourage me to believe that I was better than I thought. Forasmuch as they hang in my memory by only this one slender thread, I don't know what they did, except that they forbore to remove me. That I had a fever and was avoided, that I suffered greatly, that I often lost my reason, that the time seemed interminable, that I confounded impossible existences with my own identity; that I was a brick in the house-wall, and yet entreating to be released from the giddy place where the builders had set me; that I was a steel beam of a vast engine, clashing and whirling over a gulf, and yet that I implored in my own person to have the engine stopped, and my part in it hammered off; that I passed through these phases of disease, I know of my own remembrance, and did in some sort know at the time.",Dickens,human,163,Appearance Versus Reality,human_0036
"It was an encouragement of vice; and had I been the rector of Longbourn, I should very strenuously have opposed it. You ought certainly to forgive them as a Christian, but never to admit them in your sight, or allow their names to be mentioned in your hearing.' That is his notion of Christian forgiveness! The rest of his letter is only about his dear Charlotte's situation, and his expectation of a young olive-branch. But, Lizzy, you look as if you did not enjoy it. You are not going to be missish, I hope, and pretend to be affronted at an idle report.",Austen,human,103,The Importance of Reputation,human_0037
"As a clergyman, moreover, I feel it my duty to promote and establish the blessing of peace in all families within the reach of my influence; and on these grounds I flatter myself that my present overtures of good-will are highly commendable, and that the circumstance of my being next in the entail of Longbourn estate will be kindly overlooked on your side, and not lead you to reject the offered olive branch. I cannot be otherwise than concerned at being the means of injuring your amiable daughters, and beg leave to apologize for it, as well as to assure you of my readiness to make them every possible amends; but of this hereafter.",Austen,human,114,Appearance Versus Reality,human_0038
"Their society can afford no pleasure that will atone for such wretchedness as this! Let me never see either one or the other again!” Yet the misery, for which years of happiness were to offer no compensation, received soon afterwards material relief, from observing how much the beauty of her sister rekindled the admiration of her former lover. When first he came in, he had spoken to her but little, but every five minutes seemed to be giving her more of his attention. He found her as handsome as she had been last year; as good-natured, and as unaffected, though not quite so chatty.",Austen,human,104,The Importance of Reputation,human_0039
"and I cannot go home; and I might not, could not, would not, and should not go home; until I felt that I was going distracted, and rolled over on the pillow, and looked at the staring rounds upon the wall again. I had left directions that I was to be called at seven; for it was plain that I must see Wemmick before seeing any one else, and equally plain that this was a case in which his Walworth sentiments only could be taken. It was a relief to get out of the room where the night had been so miserable, and I needed no second knocking at the door to startle me from my uneasy bed.",Dickens,human,118,Moral Development and Redemption,human_0040
"They must be a great loss to your family.” In Darcy's presence she dared not mention Wickham's name: but Elizabeth instantly comprehended that he was uppermost in her thoughts; and the various recollections connected with him gave her a moment's distress; but, exerting herself vigorously to repel the ill-natured attack, she presently answered the question in a tolerably disengaged tone. While she spoke, an involuntary glance showed her Darcy with a heightened complexion, earnestly looking at her, and his sister overcome with confusion, and unable to lift up her eyes. Had Miss Bingley known what pain she was then giving her beloved friend, she undoubtedly would have refrained from the hint; but she had merely intended to discompose Elizabeth, by bringing forward the idea of a man to whom she believed her partial, to make her betray a sensibility which might injure her in Darcy's opinion, and, perhaps, to remind the latter of all the follies and absurdities by which some part of her family were connected with that corps.",Austen,human,170,Appearance Versus Reality,human_0041
"We found that a steamer for Hamburg was likely to suit our purpose best, and we directed our thoughts chiefly to that vessel. But we noted down what other foreign steamers would leave London with the same tide, and we satisfied ourselves that we knew the build and colour of each. We then separated for a few hours: I, to get at once such passports as were necessary; Herbert, to see Startop at his lodgings. We both did what we had to do without any hindrance, and when we met again at one o'clock reported it done. I, for my part, was prepared with passports; Herbert had seen Startop, and he was more than ready to join.",Dickens,human,117,Appearance Versus Reality,human_0042
"Had Lydia's marriage been concluded on the most honourable terms, it was not to be supposed that Mr. Darcy would connect himself with a family, where to every other objection would now be added an alliance and relationship of the nearest kind with the man whom he so justly scorned. From such a connection she could not wonder that he should shrink. The wish of procuring her regard, which she had assured herself of his feeling in Derbyshire, could not in rational expectation survive such a blow as this. She was humbled, she was grieved; she repented, though she hardly knew of what.",Austen,human,103,Appearance Versus Reality,human_0043
"The manner in which they spoke of the Meryton assembly was sufficiently characteristic. Bingley had never met with pleasanter people or prettier girls in his life; everybody had been most kind and attentive to him; there had been no formality, no stiffness; he had soon felt acquainted with all the room; and as to Miss Bennet, he could not conceive an angel more beautiful. Darcy, on the contrary, had seen a collection of people in whom there was little beauty and no fashion, for none of whom he had felt the smallest interest, and from none received either attention or pleasure.",Austen,human,101,Appearance Versus Reality,human_0044
"The goodness of the minor characters in Pride and Prejudice has been already alluded to, and it makes a detailed dwelling on their beauties difficult in any space, and impossible in this. Mrs. Bennet we have glanced at, and it is not easy to say whether she is more exquisitely amusing or more horribly true. Much the same may be said of Kitty and Lydia; but it is not every author, even of genius, who would have differentiated with such unerring skill the effects of folly and vulgarity of intellect and disposition working upon the common weaknesses of woman at such different ages.",Austen,human,103,The Power of Social Expectations,human_0045
"Of the lady's sensations they remained a little in doubt; but that the gentleman was overflowing with admiration was evident enough. Elizabeth, on her side, had much to do. She wanted to ascertain the feelings of each of her visitors, she wanted to compose her own, and to make herself agreeable to all; and in the latter object, where she feared most to fail, she was most sure of success, for those to whom she endeavoured to give pleasure were pre-possessed in her favour. Bingley was ready, Georgiana was eager, and Darcy determined, to be pleased. ] In seeing Bingley, her thoughts naturally flew to her sister; and",Austen,human,108,The Search for Identity,human_0046
"Their parties abroad were less varied than before; and at home she had a mother and sister, whose constant repinings at the dulness of everything around them threw a real gloom over their domestic circle; and, though Kitty might in time regain her natural degree of sense, since the disturbers of her brain were removed, her other sister, from whose disposition greater evil might be apprehended, was likely to be hardened in all her folly and assurance, by a situation of such double danger as a watering-place and a camp. Upon the whole, therefore, she found, what has been sometimes found before, that an event to which she had looked forward with impatient desire, did not, in taking place, bring all the satisfaction she had promised herself.",Austen,human,127,Appearance Versus Reality,human_0047
"Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gargery and I were both brought up by hand. She was not a good-looking woman, my sister; and I had a general impression that she must have made Joe Gargery marry her by hand. Joe was a fair man, with curls of flaxen hair on each side of his smooth face, and with eyes of such a very undecided blue that they seemed to have somehow got mixed with their own whites.",Dickens,human,117,Social Class and Mobility,human_0048
"as we went along Kitty and me drew up all the blinds, and pretended there was nobody in the coach; and I should have gone so all the way, if Kitty had not been sick; and when we got to the George, I do think we behaved very handsomely, for we treated the other three with the nicest cold luncheon in the world, and if you would have gone, we would have treated you too. And then when we came away it was such fun! I thought we never should have got into the coach. I was ready to die of laughter.",Austen,human,102,The Power of Social Expectations,human_0049
"You must write again very soon, and praise him a great deal more than you did in your last. I thank you again and again, for not going to the Lakes. How could I be so silly as to wish it! Your idea of the ponies is delightful. We will go round the park every day. I am the happiest creature in the world. Perhaps other people have said so before, but no one with such justice. I am happier even than Jane; she only smiles, I laugh. Mr. Darcy sends you all the love in the world that can be spared from me.",Austen,human,104,Gender Roles and Expectations,human_0050
"Till I have your disposition, your goodness, I never can have your happiness. No, no, let me shift for myself; and, perhaps, if I have very good luck, I may meet with another Mr. Collins in time.” The situation of affairs in the Longbourn family could not be long a secret. Mrs. Bennet was privileged to whisper it to Mrs. Philips, and she ventured, without any permission, to do the same by all her neighbours in Meryton. The Bennets were speedily pronounced to be the luckiest family in the world; though only a few weeks before, when Lydia had first run away, they had been generally proved to be marked out for misfortune.",Austen,human,113,Social Class and Mobility,human_0051
"Some of the merest obsoletenesses of phrase and manner give one or two of her early speeches a slight pertness, but that is nothing, and when she comes to serious business, as in the great proposal scene with Darcy (which is, as it should be, the climax of the interest of the book), and in the final ladies' battle with Lady Catherine, she is unexceptionable. Then too she is a perfectly natural girl. She does not disguise from herself or anybody that she resents Darcy's first ill-mannered personality with as personal a feeling. (By the way, the reproach that the ill-manners of this speech are overdone is certainly unjust; for things of the same kind, expressed no doubt less stiltedly but more coarsely, might have been heard in more than one ball-room during this very year from persons who ought to have been no worse bred than Darcy.)",Austen,human,148,Social Class and Mobility,human_0052
"If we had been waited on by any boat, I should have run in to shore, and have obliged her to go on, or to make her purpose evident. But we held our own without any appearance of molestation. He had his boat-cloak on him, and looked, as I have said, a natural part of the scene. It was remarkable (but perhaps the wretched life he had led accounted for it) that he was the least anxious of any of us. He was not indifferent, for he told me that he hoped to live to see his gentleman one of the best of gentlemen in a foreign country; he was not disposed to be passive or resigned, as I understood it; but he had no notion of meeting danger half way.",Dickens,human,131,Family Duty and Loyalty,human_0053
"But I pity her, because she must feel that she has been acting wrong, and because I am very sure that anxiety for her brother is the cause of it. I need not explain myself farther; and though we know this anxiety to be quite needless, yet if she feels it, it will easily account for her behaviour to me; and so deservedly dear as he is to his sister, whatever anxiety she may feel on his behalf is natural and amiable. I cannot but wonder, however, at her having any such fears now, because if he had at all cared about me, we must have met long, long ago.",Austen,human,110,The Power of Social Expectations,human_0054
"On the gentlemen's appearing, her colour increased; yet she received them with tolerable ease, and with a propriety of behaviour equally free from any symptom of resentment, or any unnecessary complaisance. Elizabeth said as little to either as civility would allow, and sat down again to her work, with an eagerness which it did not often command. She had ventured only one glance at Darcy. He looked serious as usual; and, she thought, more as he had been used to look in Hertfordshire, than as she had seen him at Pemberley. But, perhaps, he could not in her mother's presence be what he was before her uncle and aunt.",Austen,human,109,Appearance Versus Reality,human_0055
"Your retrospections must be so totally void of reproach, that the contentment arising from them is not of philosophy, but, what is much better, of ignorance. But with me, it is not so. Painful recollections will intrude, which cannot, which ought not to be repelled. I have been a selfish being all my life, in practice, though not in principle. As a child I was taught what was right, but I was not taught to correct my temper. I was given good principles, but left to follow them in pride and conceit. Unfortunately an only son (for many years an only child), I was spoiled by my parents, who, though good themselves, (my father particularly, all that was benevolent and amiable,) allowed, encouraged, almost taught me to be selfish and overbearing, to care for none beyond my own family circle, to think meanly of all the rest of the world, to wish at least to think meanly of their sense and worth compared with my own.",Austen,human,166,Social Class and Mobility,human_0056
"Bingley, from this time, was of course a daily visitor at Longbourn; coming frequently before breakfast, and always remaining till after supper; unless when some barbarous neighbour, who could not be enough detested, had given him an invitation to dinner, which he thought himself obliged to accept. Elizabeth had now but little time for conversation with her sister; for while he was present Jane had no attention to bestow on anyone else: but she found herself considerably useful to both of them, in those hours of separation that must sometimes occur. In the absence of Jane, he always attached himself to Elizabeth for the pleasure of talking of her; and when Bingley was gone, Jane constantly sought the same means of relief.",Austen,human,122,Appearance Versus Reality,human_0057
